sid	stu_name	email	init_edollars	type	pid
S8728867C	Jason Gilmore	jason.2014@smu.edu.sg	81.67		BBM
S2521462Y	Rhodri Larsen	rhodri.2016@smu.edu.sg	81.76	SM	BL
G9772905L	Dawid Richardson	dawid.2017@smu.edu.sg	82.04		BL
G6114178Q	Geraldine Snow	geraldine.2014@smu.edu.sg	82.07	SM	BBM
G7439522B	Tyrese Bass	tyrese.2017@smu.edu.sg	82.43		BSEcons
S1896115P	Eleanor David	eleanor.2015@smu.edu.sg	82.56	DD	BSEcons
G8674564M	Arley Walton	arley.2014@smu.edu.sg	82.58		BSIS
S4421898X	Ifan Hail	ifan.2016@smu.edu.sg	82.63		BL
G3385943F	Safia Hutton	safia.2014@smu.edu.sg	82.67	SM	BSIS
G5969651O	Tatiana Neale	tatiana.2015@smu.edu.sg	83	SM	BSIS
S6211862R	Dominik Parrish	dominik.2014@smu.edu.sg	83.3		BL
G7722809L	Billie-Jo Potts	billie-jo.2017@smu.edu.sg	83.71	DD	BSS
G8836608P	Olivier O'Sullivan	olivier.2017@smu.edu.sg	83.77		BBM
S8193138S	Jorja Maynard	jorja.2017@smu.edu.sg	84.18	SM	BAcc
G4546862T	Asad Hamilton	asad.2017@smu.edu.sg	84.39		BSIS
S4061579Z	Aniela Potter	aniela.2015@smu.edu.sg	84.41	DD	BAcc
G3633864N	Mila-Rose Hamer	mila-rose.2014@smu.edu.sg	84.65		BAcc
G5640927P	Danish Avila	danish.2017@smu.edu.sg	84.94		BSS
G3189498A	Maureen Pearce	maureen.2016@smu.edu.sg	84.99	SM	BSEcons
S3507440C	Tobi Solomon	tobi.2017@smu.edu.sg	85.37		BSIS
G5964233I	Enoch Roberts	enoch.2016@smu.edu.sg	85.58	DD	BL
S8854097J	Codey Hollis	codey.2014@smu.edu.sg	85.63	SM	BAcc
S8847299P	Aadil Shields	aadil.2014@smu.edu.sg	85.84		BSIS
S1357916B	Carley Hamer	carley.2014@smu.edu.sg	85.86		BSIS
S1234567D	Micheal Pope	micheal.2014@smu.edu.sg	85.87		BL
G5205470L	Zuzanna Chen	zuzanna.2014@smu.edu.sg	85.88	DD	BAcc
S5103997Q	Izabel Lewis	izabel.2015@smu.edu.sg	86.25	DD	BL
G6547617K	Giuseppe Hinton	giuseppe.2014@smu.edu.sg	86.8	SM	BSEcons
S6798090E	Arfa Harwood	arfa.2014@smu.edu.sg	86.85		BL
S6671889S	Kourtney Bush	kourtney.2016@smu.edu.sg	86.99	SM	BSEcons
G3481635G	Javier Clay	javier.2015@smu.edu.sg	87.46		BSIS
G2313297V	Romana Mathis	romana.2014@smu.edu.sg	87.72		BSS
S6696584D	Marni Myers	marni.2017@smu.edu.sg	87.76	SM	BL
S7830127B	Salma Coulson	salma.2017@smu.edu.sg	87.85		BSEcons
S7408329E	Khadeejah Snider	khadeejah.2017@smu.edu.sg	88.69	SM	BBM
G1386690Z	Armani Holloway	armani.2016@smu.edu.sg	88.8	DD	BAcc
S1737549J	Madina Bush	madina.2017@smu.edu.sg	89.07	DD	BSEcons
S1319763Z	Winston Beattie	winston.2016@smu.edu.sg	89.11		BBM
G7713333Y	Jack Joseph	jack.2014@smu.edu.sg	89.25	SM	BBM
G6087362T	Elsie Harrington	elsie.2015@smu.edu.sg	89.43	SM	BSEcons
G1999241X	Seren Browne	seren.2015@smu.edu.sg	89.58		BSIS
S1624801C	Riley-James Pitts	riley-james.2016@smu.edu.sg	89.65		BBM
G8969885B	Veronica Heath	veronica.2015@smu.edu.sg	90.12	DD	BSEcons
G1732988Z	Lydia Hewitt	lydia.2017@smu.edu.sg	90.27		BBM
S5996152C	Alanna Chase	alanna.2016@smu.edu.sg	90.37		BSS
S7677807A	Lyra Mcnally	lyra.2017@smu.edu.sg	90.53		BBM
S8385201S	Florrie Nicholson	florrie.2015@smu.edu.sg	90.54		BSEcons
G1198666U	Amara Cleveland	amara.2015@smu.edu.sg	90.81		BBM
S7228400O	Mohammod Hinton	mohammod.2016@smu.edu.sg	90.81		BSIS
G1220181E	Usmaan Rojas	usmaan.2015@smu.edu.sg	91.11	DD	BSEcons
G1307714J	Blythe Adams	blythe.2014@smu.edu.sg	91.12		BSS
S9214935M	Lianne Dejesus	lianne.2015@smu.edu.sg	91.58	SM	BSS
S8018571C	Chloe-Louise Wang	chloe-louise.2015@smu.edu.sg	91.63	SM	BSEcons
S7755175T	Alyssa Tanner	alyssa.2015@smu.edu.sg	91.76		BSS
G4440348G	Mohammod Browne	mohammod.2017@smu.edu.sg	91.81	SM	BAcc
S1677476P	Layla-Mae Hood	layla-mae.2014@smu.edu.sg	92.68		BL
G5818280C	Arnav Hyde	arnav.2016@smu.edu.sg	92.74		BSIS
S9065556M	Hamish Rowley	hamish.2017@smu.edu.sg	93.37		BSS
G8051945O	Brenna Garrison	brenna.2015@smu.edu.sg	93.38		BL
G1221017S	Ismail Harrington	ismail.2014@smu.edu.sg	93.51	DD	BAcc
S3594932T	Eadie Battle	eadie.2016@smu.edu.sg	93.81	SM	BAcc
G7389336X	Ammaar Bruce	ammaar.2014@smu.edu.sg	94.3		BSEcons
G3480963O	Avaya Griffiths	avaya.2016@smu.edu.sg	94.72		BL
G7567908Q	Leja Wallis	leja.2014@smu.edu.sg	94.74	DD	BSEcons
S9975843I	Zaki Houston	zaki.2015@smu.edu.sg	94.87		BSS
G6678606G	Mariam Christian	mariam.2017@smu.edu.sg	70	SM	BSEcons
S7275280A	Tanvir Ford	tanvir.2017@smu.edu.sg	70.56		BL
S5870710U	Bethaney Mcgregor	bethaney.2017@smu.edu.sg	70.65	SM	BSIS
G6512590L	Abdi Richards	abdi.2015@smu.edu.sg	70.68	DD	BSS
G4860972I	Aidan Sweeney	aidan.2017@smu.edu.sg	71.04	SM	BSEcons
G8535302K	Anabel Higgs	anabel.2015@smu.edu.sg	71.04		BSS
G6346018J	Kevin Leech	kevin.2015@smu.edu.sg	71.06		BBM
S9152606R	Vincenzo Dillard	vincenzo.2014@smu.edu.sg	71.14	SM	BSS
G7064520A	Evie-Mae Nava	evie-mae.2014@smu.edu.sg	71.15	SM	BAcc
S8112837E	Jaspal Avila	jaspal.2014@smu.edu.sg	71.52		BAcc
G9559011L	Enrico Franklin	enrico.2014@smu.edu.sg	71.6		BAcc
G7071458G	Akaash Paul	akaash.2017@smu.edu.sg	71.77		BSIS
S3693475W	Yousaf Santana	yousaf.2014@smu.edu.sg	72.02		BL
G6931065Z	Dylon Robin	dylon.2014@smu.edu.sg	72.27		BL
S2830608Z	Xander Travis	xander.2016@smu.edu.sg	72.29		BL
G3276126W	Poppy Tait	poppy.2017@smu.edu.sg	72.37		BBM
G2610717H	Gerard Hendricks	gerard.2017@smu.edu.sg	72.63	DD	BSS
S7878345N	Gabriel Leighton	gabriel.2016@smu.edu.sg	73		BSCS
G7888279X	Hafsa Martinez	hafsa.2014@smu.edu.sg	73.14	DD	BL
G7891930D	Danial Moreno	danial.2014@smu.edu.sg	73.16		BBM
G1316327H	Zackary Tapia	zackary.2016@smu.edu.sg	73.22		BSEcons
S7726164T	Yanis Wharton	yanis.2017@smu.edu.sg	73.38	SM	BSS
G2429820E	Harlow Rivera	harlow.2014@smu.edu.sg	73.6	SM	BSS
G4007155W	Subhaan Parker	subhaan.2014@smu.edu.sg	73.7		BSIS
G3127106O	Bessie Rojas	bessie.2015@smu.edu.sg	73.99		BSIS
G4886962U	Kayson Monaghan	kayson.2017@smu.edu.sg	74.05		BSIS
S9925521J	Niall Burn	niall.2014@smu.edu.sg	74.38	DD	BL
G5005171N	Sanah Donaldson	sanah.2017@smu.edu.sg	74.49	SM	BAcc
G9371795F	Gary Alcock	gary.2015@smu.edu.sg	74.54		BL
G7783863H	Randall Flowers	randall.2015@smu.edu.sg	74.56		BSIS
S8751945U	Saskia Rigby	saskia.2014@smu.edu.sg	74.67		BBM
G1939586Z	Vivian Miranda	vivian.2016@smu.edu.sg	74.68		BSIS
S2627033Z	Christian Cobb	christian.2014@smu.edu.sg	74.77		BAcc
S4172182L	Kamile Dawe	kamile.2015@smu.edu.sg	74.79	SM	BSIS
G8389223G	Raees Mcgowan	raees.2016@smu.edu.sg	74.89	DD	BSEcons
S6421383D	Giuseppe Ashton	giuseppe.2017@smu.edu.sg	74.94		BSIS
S7251720D	Ruari Ferrell	ruari.2014@smu.edu.sg	75	DD	BSS
G2268559S	Jozef Nieves	jozef.2015@smu.edu.sg	75.16		BBM
G8976456G	Hengs Hawthorne	hengs.2017@smu.edu.sg	75.5		BSCS
G6578966T	Jetson Winsome	jetson.2016@smu.edu.sg	75.5		BSCS
G6550637P	Prince Dougherty	prince.2017@smu.edu.sg	75.52		BSIS
G3357807I	Raj Arnold	raj.2014@smu.edu.sg	75.6		BL
S7975838E	Orson Short	orson.2017@smu.edu.sg	75.69		BSEcons
S8061303S	Greyson Chung	greyson.2014@smu.edu.sg	75.95		BSEcons
G4033677G	Sameer Bradshaw	sameer.2014@smu.edu.sg	75.99		BAcc
G4962028F	Lilly-Grace Horner	lilly-grace.2016@smu.edu.sg	76.03		BSS
G6710568W	Letitia Mullen	letitia.2016@smu.edu.sg	76.13	SM	BSEcons
G5880696L	Aamna Harwood	aamna.2014@smu.edu.sg	76.15		BSS
S6715346S	Ruby-Rose Mcloughlin	ruby-rose.2015@smu.edu.sg	76.45	SM	BBM
S2254037C	April Cochran	april.2015@smu.edu.sg	76.46	DD	BBM
G3143193L	Jordanna Henry	jordanna.2017@smu.edu.sg	76.87		BBM
G1316881E	Belle Chung	belle.2014@smu.edu.sg	77.1		BSIS
S3414890T	Hamish Rayner	hamish.2015@smu.edu.sg	77.28	SM	BAcc
S4218805H	Kiana Todd	kiana.2014@smu.edu.sg	77.47	SM	BAcc
G8735543N	Kia Bob	kia.2014@smu.edu.sg	77.93	SM	BSIS
S2467552U	Kerri Tate	kerri.2014@smu.edu.sg	78.02		BSS
S9202642T	Keon Villarreal	keon.2014@smu.edu.sg	78.02	SM	BSS
S7795800L	Drew Wood	drew.2014@smu.edu.sg	78.25	SM	BSIS
G9820879F	Carlo Leonard	carlo.2016@smu.edu.sg	78.58	SM	BSEcons
G3702025W	Giovanni Rogers	giovanni.2017@smu.edu.sg	78.8		BL
G9405098P	Afsana Mora	afsana.2015@smu.edu.sg	79.06		BSS
S9583455I	Chase Head	chase.2015@smu.edu.sg	79.76		BSIS
S6739827A	Dora Pate	dora.2017@smu.edu.sg	80.3		BBM
S4302873A	Maisy Burnett	maisy.2017@smu.edu.sg	80.32	DD	BAcc
G8620388E	Cai Slater	cai.2017@smu.edu.sg	80.36	SM	BAcc
S7908362Q	Carrie Knapp	carrie.2014@smu.edu.sg	80.37	DD	BSIS
S7209368J	Nadia Koch	nadia.2014@smu.edu.sg	80.62	DD	BBM
G2352203W	Yusra Strong	yusra.2014@smu.edu.sg	80.71		BL
G6050455O	Juliette Bautista	juliette.2016@smu.edu.sg	80.74	SM	BSS
G4608962W	Francisco Swift	francisco.2017@smu.edu.sg	80.79	SM	BSS
S2264761B	Roland Cairns	roland.2014@smu.edu.sg	80.91		BAcc
S8449468W	Yassin Cleveland	yassin.2017@smu.edu.sg	80.99		BL
G5563265M	Abdi Weiss	abdi.2014@smu.edu.sg	80.99		BL
G2846964I	Leanne Spears	leanne.2017@smu.edu.sg	81.07		BSS
S8640160O	Gareth Lynn	gareth.2017@smu.edu.sg	81.11	SM	BL
G5660980C	Suhail O'Neill	suhail.2017@smu.edu.sg	81.15		BBM
G5448148N	Fahmida Krueger	fahmida.2015@smu.edu.sg	81.53	SM	BSEcons
G6733665S	Yara Porter	yara.2014@smu.edu.sg	81.67	SM	BSIS
S2697055S	Gabrielius Martin	gabrielius.2016@smu.edu.sg	81.89		BSS
S4431969Y	Brandan Chan	brandan.2015@smu.edu.sg	82.14		BL
S3781706J	Celia Dawson	celia.2014@smu.edu.sg	82.16	SM	BAcc
G4072838M	Coen Castro	coen.2014@smu.edu.sg	82.17		BAcc
S7118637Y	Kathy Millington	kathy.2017@smu.edu.sg	82.37	DD	BSEcons
G3010943F	Ezra Flowers	ezra.2014@smu.edu.sg	82.38	SM	BSIS
S8343137Y	Kashif Parsons	kashif.2014@smu.edu.sg	82.48		BL
S4751804M	Mischa Decker	mischa.2016@smu.edu.sg	82.53		BL
S8935264Z	Essa Kirby	essa.2016@smu.edu.sg	82.84		BBM
S7414127W	Macauley Watts	macauley.2015@smu.edu.sg	83.01	DD	BAcc
G7320815O	Humayra Crawford	humayra.2015@smu.edu.sg	83.04	DD	BBM
G9123342V	Luci Plummer	luci.2015@smu.edu.sg	83.3	SM	BAcc
G1489995F	Mandeep Carter	mandeep.2017@smu.edu.sg	83.75		BBM
G2711004Z	Jia Ahmad	jia.2017@smu.edu.sg	83.92	SM	BSEcons
G9376564K	Craig Morris	craig.2016@smu.edu.sg	84		BSCS
S2323321G	Justin Draper	justin.2016@smu.edu.sg	84		BSCS
S8289267I	Tonicha Mccoy	tonicha.2014@smu.edu.sg	84.06		BSS
G3852753H	Cai Gonzales	cai.2014@smu.edu.sg	84.22	SM	BSEcons
S5991386P	Rhiannon Dunkley	rhiannon.2017@smu.edu.sg	84.33		BSIS
G2844859D	Velma Mendez	velma.2016@smu.edu.sg	84.38		BSIS
G9539377R	Charis Lu	charis.2015@smu.edu.sg	84.66	DD	BAcc
S1944091I	Steven Keenan	steven.2014@smu.edu.sg	84.77	DD	BSS
S9234456H	Bob Wills	bob.2017@smu.edu.sg	85		BSCS
S9076431H	Kimberly Sherlock	kimberly.2017@smu.edu.sg	85		BSCS
S8366180H	Chantelle Heath	chantelle.2015@smu.edu.sg	85.07		BSS
S7775489G	Ikra Delaney	ikra.2014@smu.edu.sg	85.12	DD	BSS
S9156777G	Gary Rain	gary.2016@smu.edu.sg	85.5		BSCS
S9064888G	Jean Todd	jean.2016@smu.edu.sg	85.5	SM	BSCS
S9833465H	Faraz Sandoval	faraz.2015@smu.edu.sg	85.51		BSS
G9698447M	Dilan Roberson	dilan.2016@smu.edu.sg	85.71	SM	BSEcons
S9623081G	Shereen Mayo	shereen.2015@smu.edu.sg	86.03	SM	BSS
S7621452H	Luciano Mayer	luciano.2014@smu.edu.sg	86.06		BSIS
S3251920S	Jareth Sweeney	jareth.2015@smu.edu.sg	86.46	SM	BSEcons
G6236400X	Isaac Calderon	isaac.2014@smu.edu.sg	86.51	SM	BSEcons
G9470332K	Francesca Hoover	francesca.2017@smu.edu.sg	86.57		BSS
S9012939C	Woody Bain	woody.2016@smu.edu.sg	86.6	SM	BAcc
G3987927S	Susie Ventura	susie.2015@smu.edu.sg	86.72	SM	BSS
G4533514X	Carina Flores	carina.2016@smu.edu.sg	86.74		BBM
S1274750V	Morwenna Thomson	morwenna.2015@smu.edu.sg	86.81		BSS
S7192969D	Syed Zimmerman	syed.2014@smu.edu.sg	87.06		BBM
S8200026G	Dhruv Shepherd	dhruv.2014@smu.edu.sg	87.17	SM	BSIS
S7251696Q	Jayne Quinn	jayne.2014@smu.edu.sg	87.18		BSIS
G9072689S	Abiha Parry	abiha.2014@smu.edu.sg	87.41		BSS
S7123288W	Wayne Boyce	wayne.2016@smu.edu.sg	87.45	SM	BAcc
G8339408W	Sultan Nielsen	sultan.2016@smu.edu.sg	87.48	SM	BSS
G9924724X	Nathan Knowles	nathan.2016@smu.edu.sg	87.49		BBM
S1540052T	Laylah Vo	laylah.2014@smu.edu.sg	87.71		BSEcons
S8289625E	Catrina Preston	catrina.2014@smu.edu.sg	87.81	SM	BSIS
G7439513S	Eve Fitzgerald	eve.2015@smu.edu.sg	88.01		BSS
S8882415S	Rares Noble	rares.2014@smu.edu.sg	88.1	SM	BBM
S5657324L	Neo Whittle	neo.2015@smu.edu.sg	88.47	DD	BSEcons
G6484747I	Joseff Forster	joseff.2014@smu.edu.sg	88.7	DD	BBM
G8514050X	Aneesah Goldsmith	aneesah.2017@smu.edu.sg	89		BBM
G4298528Y	Ben Plummer	ben.2014@smu.edu.sg	89.04		BBM
G3980806F	Abel Nash	abel.2014@smu.edu.sg	89.2	SM	BAcc
G9572148S	Divine Humphries	divine.2017@smu.edu.sg	89.47		BSIS
G7144489T	Whitney Wade	whitney.2014@smu.edu.sg	89.7	SM	BSEcons
S3568612S	Kalem Bains	kalem.2014@smu.edu.sg	89.75		BSIS
G2458661X	Farhaan Coombes	farhaan.2017@smu.edu.sg	89.81		BL
S3380967A	Garfield Clark	garfield.2016@smu.edu.sg	89.85	SM	BSS
S1369181L	Khadeeja Allison	khadeeja.2014@smu.edu.sg	89.89	SM	BSIS
S3838234K	Callan Pace	callan.2014@smu.edu.sg	90.19		BAcc
G6569470C	Lucie Rahman	lucie.2014@smu.edu.sg	90.61	SM	BAcc
S6741495J	Tahir Pena	tahir.2016@smu.edu.sg	90.63		BSS
S4156424Y	Shaquille Combs	shaquille.2014@smu.edu.sg	90.77		BAcc
G8422310L	Aizah Palacios	aizah.2014@smu.edu.sg	90.85		BL
G6401494M	Shana Garrett	shana.2014@smu.edu.sg	90.97		BBM
S3950875D	Connar Hopkins	connar.2014@smu.edu.sg	90.98	SM	BL
S3579007B	Edan Carroll	edan.2015@smu.edu.sg	91.04	DD	BBM
S7752422U	Melody Jenkins	melody.2017@smu.edu.sg	91.04		BBM
S4083476L	Khalid Knight	khalid.2016@smu.edu.sg	91.47	DD	BL
S9547045P	Doris Hilton	doris.2016@smu.edu.sg	91.61	SM	BSIS
G2636463J	Serenity Leonard	serenity.2014@smu.edu.sg	91.64	SM	BSIS
S4467908U	Eve Cope	eve.2014@smu.edu.sg	91.7		BL
G9765771N	Kiah Milne	kiah.2015@smu.edu.sg	91.88		BL
S1447420O	Boyd Sweeney	boyd.2015@smu.edu.sg	92.26		BL
G6471597T	Amelia-Lily Jarvis	amelia-lily.2016@smu.edu.sg	120	DD	BSEcons
S6253444X	Kaeden Walters	kaeden.2015@smu.edu.sg	92.66		BAcc
G8416963O	Mahnoor Tapia	mahnoor.2017@smu.edu.sg	92.67	SM	BSIS
G7276494R	Samir Parkes	samir.2016@smu.edu.sg	92.94	SM	BSS
S4843889P	Kwame Marsh	kwame.2014@smu.edu.sg	93.1		BBM
G6759292P	Eesha Alfaro	eesha.2014@smu.edu.sg	93.13	SM	BSEcons
G4856411Y	Lubna East	lubna.2014@smu.edu.sg	93.29	SM	BAcc
S1500041F	Cairon Lynch	cairon.2014@smu.edu.sg	93.41	SM	BSEcons
S6940925Y	Jody Zhang	jody.2014@smu.edu.sg	93.98	DD	BL
S3520408Q	Muhammed Dennis	muhammed.2014@smu.edu.sg	94.03		BSS
G9835849V	Katie Hunt	katie.2015@smu.edu.sg	94.37	SM	BBM
G3790687V	Josiah Molina	josiah.2016@smu.edu.sg	94.52	SM	BSIS
S4003648N	Jawad Donnelly	jawad.2016@smu.edu.sg	94.82	DD	BSEcons
S9178867R	Arya Morris	arya.2016@smu.edu.sg	95	DD	BSCS
G5467534J	Kate Parker	kate.2017@smu.edu.sg	95		BSCS
S8645623G	Medwin Jetson	medwin.2016@smu.edu.sg	95		BSCS
S8956432K	Aston Duke	aston.2017@smu.edu.sg	95		BSCS
S9078645B	Kenston Seymour	kenston.2017@smu.edu.sg	95		BSCS
S1795188Y	Jimmy Huffman	jimmy.2017@smu.edu.sg	95.32	DD	BBM
G9776365W	Tasnia Randolph	tasnia.2017@smu.edu.sg	95.38		BSIS
S7343332B	Asim Peterson	asim.2014@smu.edu.sg	95.48		BAcc
S9545643Y	Calla Ransom	calla.2017@smu.edu.sg	95.5	SM	BSCS
G6317530X	Krzysztof Zuniga	krzysztof.2014@smu.edu.sg	95.51	SM	BSEcons
G2323678H	Kelvin Pam	kelvin.2016@smu.edu.sg	95.75		BSCS
S9067475L	Haley Thyme	haley.2016@smu.edu.sg	95.75		BSCS
G2521727Y	Arlene Rigby	arlene.2017@smu.edu.sg	95.8		BL
G8941270Y	Aayan Wainwright	aayan.2014@smu.edu.sg	95.87		BBM
S4532432F	Irwin Dyson	irwin.2017@smu.edu.sg	95.98		BSCS
S5584247G	Rayhaan Johns	rayhaan.2017@smu.edu.sg	96.04	SM	BSS
S5872250I	Sacha Acosta	sacha.2016@smu.edu.sg	96.18		BBM
S6769387Q	Sofia Mccray	sofia.2017@smu.edu.sg	96.31		BBM
G4935813M	Fraser Harmon	fraser.2016@smu.edu.sg	96.36		BSS
G9946804Z	Eamonn Howell	eamonn.2015@smu.edu.sg	96.5		BSIS
S2734678X	Monique Rollins	monique.2014@smu.edu.sg	96.67	DD	BL
G4840111V	Lamar Houston	lamar.2015@smu.edu.sg	96.98	SM	BAcc
G7852154D	Charli Jacobson	charli.2017@smu.edu.sg	97.02		BSIS
S9939688B	Freddie Hopkins	freddie.2016@smu.edu.sg	97.1	SM	BAcc
G5762926S	Aubrey Cohen	aubrey.2015@smu.edu.sg	97.11	SM	BSEcons
G3902460M	Eli Adams	eli.2017@smu.edu.sg	97.12		BSIS
S9773487T	Macsen Swan	macsen.2014@smu.edu.sg	97.33	SM	BSEcons
G7487119O	Piers Boyle	piers.2017@smu.edu.sg	97.35		BBM
G9330585K	Shelly Dodson	shelly.2015@smu.edu.sg	97.4	SM	BSIS
G3505627W	Marina Mayer	marina.2014@smu.edu.sg	97.42	SM	BSS
G1808114D	Jordana Holloway	jordana.2014@smu.edu.sg	97.46	SM	BAcc
S3028246V	Aurelia Franco	aurelia.2014@smu.edu.sg	97.48		BSEcons
G1585252W	Madeline Hess	madeline.2016@smu.edu.sg	97.52		BL
S1288007Q	Nelly Sheldon	nelly.2014@smu.edu.sg	97.52	SM	BAcc
S9364404F	Yvie Moran	yvie.2016@smu.edu.sg	97.59	SM	BBM
S2272453R	Sannah Mejia	sannah.2015@smu.edu.sg	97.66		BL
S5673542W	Amos Frederick	amos.2014@smu.edu.sg	97.94		BSIS
S4649446I	Millie-Rose Delgado	millie-rose.2017@smu.edu.sg	98.04	SM	BSS
S9098697Q	Amiya Rush	amiya.2017@smu.edu.sg	98.18		BSIS
S5338640F	Yasser Lawson	yasser.2014@smu.edu.sg	98.53	SM	BL
S8928772L	Kamile Stewart	kamile.2017@smu.edu.sg	200	DD	BSIS
G9155063Y	Greg Wilcox	greg.2016@smu.edu.sg	98.65		BSS
S5230433A	Kirsten Woods	kirsten.2014@smu.edu.sg	98.71		BSIS
G1962791I	Hester Simons	hester.2014@smu.edu.sg	98.97	DD	BL
G5348690U	Shoaib Jimenez	shoaib.2014@smu.edu.sg	99.14	SM	BAcc
G3244660K	Freddy Koch	freddy.2014@smu.edu.sg	99.19	SM	BAcc
G8659372Q	John-James Rosales	john-james.2015@smu.edu.sg	99.56	DD	BSEcons
S7249566D	Olli Mcgowan	olli.2014@smu.edu.sg	99.62		BBM
G5102908G	Shay Colley	shay.2014@smu.edu.sg	99.76		BSEcons
S4981550D	Olivia-Grace Stott	olivia-grace.2016@smu.edu.sg	100.1		BSIS
G5188241E	Maison Hines	maison.2014@smu.edu.sg	100.16		BSEcons
S9519676X	Zeeshan Goodman	zeeshan.2016@smu.edu.sg	100.18	DD	BSIS
S8875214W	Musab Vang	musab.2014@smu.edu.sg	100.24	SM	BL
G2350268E	Ember Lozano	ember.2014@smu.edu.sg	100.24	SM	BL
G3838766Z	Sanaa Lindsay	sanaa.2016@smu.edu.sg	100.58		BL
G2805880R	Kasey Rivers	kasey.2014@smu.edu.sg	100.6		BL
S9696293P	Alishba Parry	alishba.2014@smu.edu.sg	100.61		BAcc
G8328725F	Hadley Mccarty	hadley.2015@smu.edu.sg	100.67	SM	BAcc
S4550100T	Callam Weeks	callam.2016@smu.edu.sg	100.85	SM	BSS
S2486876C	Tashan Allen	tashan.2015@smu.edu.sg	100.88		BAcc
G4831931Q	Eve Payne	eve.2017@smu.edu.sg	101.58		BSEcons
G7812050O	Terri Lawson	terri.2015@smu.edu.sg	101.72	SM	BSS
S5629158I	Caitlyn Seymour	caitlyn.2014@smu.edu.sg	102.05	SM	BSEcons
S2922540Q	Rico Whiteley	rico.2017@smu.edu.sg	102.35	SM	BBM
S5037555B	Jaskaran Hooper	jaskaran.2014@smu.edu.sg	102.36		BL
S8722061T	Clare Travers	clare.2014@smu.edu.sg	102.42	SM	BSS
S8348737L	Molly Ryan	molly.2016@smu.edu.sg	102.43		BSIS
S6102401N	Lauryn O'Gallagher	lauryn.2015@smu.edu.sg	102.63	DD	BSS
G1126662B	Pamela Espinoza	pamela.2016@smu.edu.sg	102.74	SM	BSEcons
G4833723Q	Rajan Alvarado	rajan.2016@smu.edu.sg	103.05	SM	BAcc
G6998244V	Taliah Field	taliah.2017@smu.edu.sg	103.4	SM	BAcc
G3207118A	Rivka Hodges	rivka.2014@smu.edu.sg	103.4	DD	BSS
G3676531B	Agata Chapman	agata.2014@smu.edu.sg	103.5	SM	BSEcons
G1731494K	Asmaa Olsen	asmaa.2014@smu.edu.sg	103.68		BAcc
G3671537E	Nikki Peacock	nikki.2016@smu.edu.sg	103.73		BBM
S6134563W	Maddox Hayden	maddox.2017@smu.edu.sg	104.13	SM	BBM
G3185421R	Idrees Butler	idrees.2014@smu.edu.sg	104.13		BSIS
S3006347U	Nazifa Warren	nazifa.2016@smu.edu.sg	104.52	DD	BAcc
G5563702L	Marcelina Ridley	marcelina.2015@smu.edu.sg	104.6		BAcc
